Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,Vibration_Z,RPM,Temperature (°C),Humidity (%),Sound (dB),Pressure (bar),Current (A),Vibration_Y,Vibration_X,vibration_total,Overheating
0,0,0,1,68.72363555729548,1.4954974037691833,0.4415722875772277,0.5078420334019802,0.44813794753060027,4.3451537309112,72.89286143788614,79.46706135616863,5.476005056265779,0.814436718453954,1
1,0,0,1,70.89304222905852,1.307035606164971,0.39985873596890364,0.677326469657311,0.49301501513690404,6.235044436689722,75.23726911183549,77.6409511480479,6.053186861349605,0.9307386556426258,1
0,0,0,1,68.46992544922702,1.4715329993109711,0.4265684865251298,0.4945053213556709,0.447252306496275,4.259194454050222,72.81784243262565,79.331089409134,5.422345628891957,0.7984517411177258,1
1,0,0,1,70.64646002577456,1.3749913314794524,0.4247111155124854,0.651503294037808,0.4835012135928767,5.883616257206261,74.76934540324149,78.20207127993034,5.97358158312407,0.9199303947602013,1
0,0,0,1,64.4919820897094,1.2737492304503792,0.6638780296132218,0.6034841309695309,0.3319119507827992,4.157738035457037,72.69244556413253,77.30422222316598,4.543827036503484,0.9644020853433026,1
0,0,0,1,65.88768494831454,1.3590522660218252,0.622859974210782,0.5936833566698329,0.3633107277059059,4.304749649952507,72.83038238760976,78.02476063001414,4.848740014716311,0.9434171965794786,1
0,0,0,1,68.06225118192593,1.7190711639117253,0.5198230484212627,0.6108806694744194,0.34575188450953753,4.7688497082714765,71.41561390072232,78.73800476990316,4.849023891715218,0.8907741099247855,1
0,0,1,0,50.248505775054845,1.476954407004103,0.4204654104152223,0.4187182979426442,0.5787067478329565,7.550919149232186,67.787815198245,71.29298602011889,5.505978114666332,0.8289063548815391,1
0,0,1,0,50.125828620305256,1.3563491709981332,0.45392930192774794,0.44630302355418905,0.6309365751035471,7.531932285020307,68.10812456411551,72.02012958089381,5.119220287519488,0.8966221124482722,1
0,0,1,0,50.25215785604963,1.5271705206823982,0.4064962006101693,0.40657512863498374,0.5592594165357259,7.499790015305194,67.67094860641187,70.96795081158302,5.650235313960343,0.8021219399839834,1
0,1,0,1,47.99312000057238,1.2881520930415589,0.4712885581348759,0.43328358139884304,0.7605110232210381,4.9528427913898625,69.00708604627036,71.46215348852185,4.170660930487137,0.9962658698410992,1
0,0,0,0,52.3418027933246,1.4069152409224241,0.4361105132679273,0.7772832960938659,0.2880868749954432,6.525268121492852,70.97812798537478,74.34884680519878,4.7196136871447285,0.9443417647855126,1
0,0,0,0,52.19149804026923,1.4035602241131526,0.43731831931926507,0.7536639777565943,0.3121087953498274,6.6071305316390765,70.76944593983809,74.18445098154447,4.751821848513735,0.940547756019949,1
0,0,0,0,51.955985099439076,1.398303238826765,0.43921083402236455,0.7166548013404266,0.3497488100003617,6.735400972626931,70.4424614550248,73.9268587025115,4.802288907263055,0.9346029130010183,1
0,0,0,0,52.006122048887384,1.3994223671626649,0.4388079478214406,0.7245334648251611,0.34173585111531907,6.708094241230976,70.51207123751776,73.98169599097058,4.791545275238417,0.935868475279115,1
0,0,1,0,51.004732638997396,1.7390413949813173,0.4230756793435802,0.5706871920465351,0.4677285476831411,6.539525664090808,70.14805259691462,72.49553988532891,4.704510567566803,0.8622550063913302,1
0,0,1,0,50.82304256094785,1.3730143428783002,0.44831483656381194,0.538620973863233,0.5308173049913709,7.352450033769476,68.86949212703027,72.6877028010367,5.045062308368319,0.9060050554180826,1
0,1,1,0,50.22185609938588,0.8791866337259102,0.5582346235618763,0.5213899925178781,0.7455641341145812,7.288978087103551,73.11307632103147,71.40589152819886,4.553107379120036,1.0674158661964268,1
0,1,1,0,50.226585353761884,1.004511874689908,0.5308049481810767,0.5020000495762784,0.7138781297953818,7.3882924289995495,71.7959789773155,71.57378005854686,4.713902027904033,1.0215076410152948,1
0,0,1,0,50.88450672562751,1.6794511596588508,0.4277801716058802,0.5512419573623618,0.49229645171959663,6.717250927333252,69.81978358127859,72.4254952227569,4.777691558313692,0.86681934408816,1
0,0,1,0,50.4886164110382,1.3655494734606741,0.45100218955415733,0.48606829316314537,0.5842657700215738,7.534592847559553,68.40517724925392,72.32192419957303,5.116725054777529,0.8975634345218789,1
0,0,1,0,51.24140441812639,1.3823527771903212,0.4449530002114844,0.6043635514198618,0.4639541153172997,7.124592236556161,69.45034274123799,73.14528608232574,4.955413338972916,0.9165653904776679,1
0,0,1,0,51.27120252749231,1.3830179135600964,0.44471355111836536,0.6090461114630781,0.45919173890971043,7.10836290913365,69.491714223438,73.17787776444472,4.949028029823076,0.9173175575637607,1
0,1,0,1,47.265901183242015,1.2648980029525063,0.47720778106663475,0.4288441642000239,0.804693794390238,4.073415384385693,69.31361723380788,71.2718927514296,3.847217677430315,1.030242764169328,1
0,0,1,0,50.26186592880752,1.6606565211032835,0.3693628223112684,0.37429578671502417,0.507563929100001,7.363876996694839,67.36029027815964,70.10393233613146,6.0337041878967055,0.7309227938056588,1
0,0,1,0,48.93142211154179,1.318155939613255,0.4636512153711715,0.4390115884716214,0.7035037147348155,6.087533716283096,68.6115807960071,71.70763950592664,4.587987160075273,0.9524268066697206,1
0,0,1,0,50.27907201314043,1.8972401806808625,0.3035495497378691,0.31708555630808233,0.41594153002722956,7.122991816034031,66.80969557950635,68.57259083050205,6.713344519046842,0.6047331221655199,1
1,0,0,0,59.97534281137621,1.6179613211366315,0.5824956022742527,0.7775518368352632,0.4308805015578526,6.174850582940632,67.20117749913453,64.88840074165789,5.374077357726736,1.0710888185089167,1
1,0,0,0,61.032439171977494,1.471402238693386,0.5416461558911353,0.6917991822142153,0.526299819063455,5.850549634555578,67.14816676718696,65.27818553538994,5.667195522613228,1.0453634230544235,1
1,0,0,0,59.7374206878105,1.6447851948971568,0.5998156532364841,0.7927870675879514,0.398344789605485,6.341270103709115,67.2889204672811,64.75042024675172,5.228815818332023,1.0729713622303896,1
0,1,0,1,62.01948647490786,1.2260575275398418,0.6465735760913843,0.5401547082823712,0.42067693186454175,7.192683027335655,68.43344275805777,64.75739904120768,4.544893961648408,0.9525455354957237,1
0,0,0,1,58.93898488241661,1.7526268896979236,0.40144969438158096,0.3030578962904672,0.6733410422119444,6.0880231585161875,64.59430106071042,66.1638378903867,5.334265358653941,0.8572848165695047,1
1,0,0,0,59.927643675574075,1.5803880545438433,0.5367919741466447,0.7755156697721433,0.41940298636403917,6.121977602269706,67.76327241932795,65.5509067625144,5.3008041062505535,1.0362536337200252,1
0,0,0,1,58.98199399270464,1.7472507509119208,0.41417322284178726,0.33591207776048354,0.6553608447165353,6.101164831104193,64.76514280435451,66.07184618227065,5.330083917375938,0.8717903521373616,1
1,0,0,0,60.55555361361041,1.4946690617228613,0.6165786214409471,0.702217000572793,0.40635098337478076,6.646506241163515,67.69923789795752,64.75292218230462,4.98362613414734,1.0297980520982477,1
0,1,0,1,62.5782184285756,1.1235379030136508,0.6580216008301424,0.4783012014849027,0.4261446451726053,7.401139597205576,68.71366306509601,64.75910770161644,4.377445241588963,0.9230609527882744,1
0,0,0,1,58.95159276290677,1.7001584761438713,0.41303329552238466,0.7951826476388547,0.6194187615610512,4.638823431123043,65.89302704966966,63.73969104918031,5.624362094690489,1.1016726277677382,1
0,1,0,1,62.232045160271504,1.1870559338951368,0.6509287540483764,0.5166237467833992,0.422757016858926,7.271986267746555,68.54004711401996,64.75804906776843,4.48119135869539,0.9413287004862875,1
1,0,0,0,59.58451436218361,1.670720262224018,0.5926064004334891,0.8076938885547923,0.4023119339021341,6.250565643235005,67.1883084621432,64.72587121549539,5.278463081132213,1.0807353945664946,1
0,0,1,0,60.72648811777661,1.3619006857363118,0.3899957732290844,0.6963139985794129,0.47402482856592204,5.712313785755585,69.08785209272361,67.50363762123172,5.375909139278143,0.9290494163533302,1
0,0,0,1,59.07679688570937,1.735400389286329,0.4422190786890211,0.4083309543613222,0.6157279686131673,6.130132381744529,65.14172096267887,65.8690733277883,5.320866969444922,0.9037641997060916,1
1,0,0,0,59.38057921132199,1.697427598584752,0.5320880166827536,0.6403868975376267,0.4887300797112261,6.2229547590150505,66.34841186719565,65.21931668689464,5.291332576677029,1.00621982595715,1
0,0,0,1,58.886720588221394,1.7031757865943538,0.3946277017744413,0.7939002906973996,0.6416714261333598,4.473625683959125,65.76026538984843,63.638611149089144,5.659815492483658,1.1038186184421146,1
1,0,0,0,59.397304737141255,1.6953369078573437,0.5370359847376199,0.6531633408717885,0.4817378807228939,6.228065336348716,66.4148493725333,65.18354264555899,5.289706483889045,1.011860786861427,1
0,1,0,1,62.453905055381234,1.1463476962603232,0.6554745072509306,0.4920631100770617,0.4249281228661161,7.354759684270676,68.65131629688845,64.75872753839566,4.414701237225195,0.9296210356858616,1
1,0,0,0,59.98164752349647,1.6170872165063894,0.5822519688560363,0.7770403926367173,0.43144959946605277,6.172916393971586,67.20086133362997,64.89072548801492,5.375825566987221,1.070935387640582,1
0,0,0,1,58.994830059383716,1.6981474390984317,0.4253006214995658,0.7960373383831665,0.6045873633509347,4.748927709360857,65.981512679669,63.807060790202534,5.600732409406574,1.1002423252462827,1
0,1,0,1,58.90662586932193,1.1520926702762393,0.3046572952280294,0.5667385541983947,0.5687846133706652,5.412092670276239,78.25151244617781,68.15150830669008,4.153546680095431,0.9039106533161683,1
1,0,0,0,60.25007431423941,1.4025494811254071,0.10293561900618907,0.4513366197348535,0.706980281590879,5.4086638245113985,77.76660878443485,70.47301964436808,4.228242216881109,0.8540260141043228,1
1,0,0,0,60.20501291323976,1.421446197673649,0.12241377298668443,0.4623839309476718,0.6406964143139694,5.045265429352903,77.8669067414986,70.5980286923026,4.511692965104736,0.8193396081796229,1
1,0,0,0,60.24440041588411,1.384046062586889,0.09529652349041341,0.4448310704305801,0.7475640819511838,5.637471923359913,77.68883636735042,70.43763149930489,4.065924435819588,0.8769467559821261,1
1,0,0,0,57.523644363068705,1.3009340865617438,0.1542212112686373,0.3352458320122347,0.5883375159838165,4.965598770421822,77.9296963030776,69.53215462319996,3.547793636262269,0.7048059047744806,1
1,0,0,0,60.186607769164404,1.4291644838988,0.13036954494184005,0.46689615981776006,0.6136230410934398,4.8968368480999995,77.9078730299244,70.6490881242536,4.6274672584820005,0.8051720882104716,1
0,1,0,1,58.760171989883695,1.126722706908986,0.32754792126621024,0.5798271489355913,0.5493535277916552,5.386722706908986,78.31032463398371,67.91280001500728,4.165655071702529,0.9067737858889803,1
1,0,0,0,60.9903983604236,1.4643094519271542,0.290338282395608,0.343830858802196,0.6603424686488718,6.0215472596357715,76.0889710822193,70.07790030190596,3.9478562796103285,0.8812346216686004,1
1,0,0,0,60.187025075432835,1.428989484495908,0.13018916094193594,0.46679385247453087,0.6142368851528149,4.900202221232538,77.90694418693982,70.647930435896,4.62484226743862,0.805493313345526,1
0,1,0,0,60.0496101083932,1.4866151158351084,0.18958788863003484,0.5004826831036019,0.41210390137838887,3.792017003170992,78.2128033071248,71.02914615090918,5.489226737526627,0.699716945520154,1
1,0,0,0,60.14183006074212,1.3668914387303903,0.11055699096275692,0.4472255700105497,0.7376644344339961,5.601375735661863,77.65667144761949,70.57486849015687,4.140618527194759,0.8766159471560687,1
1,0,0,1,54.97097742827111,1.2184499509135223,0.21369661434130227,0.23452836111545897,0.43769543666838046,4.331773307019699,78.14241854764407,68.73770215879867,3.0919602550484138,0.545279558247856,1
0,0,0,1,62.31691065979493,1.6030659685977953,0.6644258513396563,0.15678707433017186,0.49105951831068967,6.715329842988977,73.0807298007998,69.49512293188926,3.775798198938734,0.8890268729401778,1
0,1,0,1,58.58377610460493,1.096165939380381,0.35511845924088337,0.5955916630923943,0.525949821752701,5.356165939380381,78.38116077689094,67.62528861144267,4.180238983477546,0.9102222763406426,1
0,0,0,1,61.69779955255665,1.538305392526846,0.489831338252377,0.24408433087381148,0.5700674211172478,6.391526962634231,74.48473909001798,69.76711735138724,3.856101313266711,0.8853900658672909,1
0,1,0,1,58.01355165472528,0.997386900818553,0.444244091761442,0.6465526670777011,0.4502940581269372,5.257386900818553,78.61014854810244,66.69586765770184,4.227383524609327,0.9213700055952491,1
1,0,0,0,59.19025854437116,1.3547872658895441,0.11539023459543388,0.40100339834933824,0.686690427703536,5.3794179378880775,77.79081178796908,70.05084577146245,3.84540331149485,0.808959277777576,1
1,0,0,0,60.079418328035295,1.3552535686360354,0.12135075738975895,0.4619259998173181,0.7243873923416908,5.615253568636036,77.78054854543464,70.06306766852997,4.056583524060074,0.8809828872332857,1
1,0,0,0,59.59260581235963,1.2750351184434217,0.19227084255137278,0.4600471813839391,0.684655682935058,5.408094728391367,77.48444084708142,71.30971905245262,4.540576255110935,0.8748445949110836,1
0,1,1,0,57.99956034013045,1.0086024262239086,0.4292849250049813,0.49723674467291273,0.5309018168000472,4.847475938512808,76.98487954916983,73.44118059020873,5.700668602483398,0.8697067214797718,1
0,1,0,1,55.33065252820816,1.2545071346744427,0.6257355571926425,0.6383412649321968,0.4962535673372214,3.1618966453883646,73.32503740795693,62.273507903799015,5.066804860080752,1.0226808064928605,1
0,0,1,0,57.23816778609054,1.3257648885608535,0.5583147592847307,0.6279266701334137,0.5318824442804269,3.6661822882768105,72.93037907873989,60.431769034119476,5.806789227362711,0.99656809324959,1
0,0,1,0,55.79730813455287,1.7875362587433075,0.6847490633905221,0.46579387218271207,0.6025026892648527,7.619423198022807,76.12727067017376,62.45968062613339,4.223649987046952,1.0242362536687357,1
0,1,1,0,54.60245577337535,1.9088859922549055,0.3108253569985978,0.5448734296778707,0.200496239813724,3.9685821719607888,77.65415135200281,64.52924023459384,5.24248098439776,0.667393252282483,1
0,1,1,0,55.163069887986076,1.5680818703165897,0.49755279498292826,0.6077132586573846,0.38606074236797694,3.114356629328692,74.92998043780207,61.98848681943643,5.0825734826852305,0.8800594967859718,1
0,1,0,1,55.2042723181642,1.288820954664852,0.6138352090411928,0.6351815454428015,0.48082633177766504,3.1280907727214005,73.54283195513852,62.34099649984928,5.027636909114396,1.006724374993264,1
0,0,1,0,58.10317983006227,1.3580785568701421,0.5277410577305577,0.6232039032266715,0.5480392784350712,3.894863633234853,72.75141106964229,59.59658499166402,6.142354244420709,0.9847266092232525,1
0,0,1,0,57.29444520845669,1.3278672060630372,0.5563256434942031,0.627619408344633,0.5329336030315187,3.6810602275230337,72.91873547411241,60.377432212524575,5.828620986039234,0.9957976898747047,1
0,1,0,1,55.205402680117615,1.305167838588592,0.6247130821352599,0.6300352262293538,0.5143431404795433,3.2139010878534835,73.33850670029403,62.388850670029406,4.899320353087455,1.0274748990043536,1
0,1,0,1,55.143361327775416,1.3222701093139844,0.5949912327608882,0.6286756986694308,0.4618069513055888,3.221980139126889,73.82210214266148,62.62464321205839,5.044402894054072,0.9851814800096814,1
0,0,1,0,55.74667982346759,1.74119848249576,0.6800294750690127,0.4807249334180329,0.5931493233185885,7.232416955659032,75.8878588262281,62.453673877360565,4.292298544450726,1.0242445475187079,1
0,1,1,0,55.14977197633557,1.658212160392228,0.4600231332137281,0.5988479842237153,0.3554755455718177,3.1099239921118578,75.37767679670237,61.874715797537675,5.100304031552569,0.8391789382281256,1
0,1,0,1,55.17682852802733,1.6480576636720428,0.5918528072314292,0.5743156296532931,0.6407837634790657,3.7353793635012313,73.26707132006833,62.38170713200684,4.149248860717407,1.047006359392796,1
0,1,0,1,55.17484084398871,1.6719098721354884,0.5895669705870157,0.5704396457779832,0.6495792653499614,3.771654597206055,73.26210210997178,62.38121021099718,4.0970721547036195,1.048365012903927,1
0,1,1,0,55.15854048831565,1.5987811347494767,0.4847698225797261,0.6046936588771007,0.3756431231259973,3.1128468294385505,75.0824702267064,61.94973528892279,5.088612682245798,0.8661351759358089,1
0,0,1,0,55.515293347535476,1.5294210299477222,0.6584595493465273,0.5489643347946228,0.5504016523412995,5.463683046415236,74.79367532139656,62.42622124462285,4.606042918595967,1.0242824528858003,1
0,1,0,0,45.44990773543111,1.8863453195091366,0.40093127522340716,0.4641186224763947,0.5655121440591608,5.376793427721987,61.64046506447457,76.90066654987407,5.325121440591608,0.8418686845637873,1
0,1,0,0,45.36820154320961,1.8477618398489806,0.41386808899181243,0.4830699198388831,0.5516674837105165,4.874073383914658,61.4373343921461,77.12195415380731,5.186674837105166,0.8486884039725121,1
0,1,0,0,47.35643940037943,1.5748535348736896,0.45130378788257614,0.4973209594835747,0.561240151655317,5.295303035606589,63.99474495857414,75.26714898271392,4.960800505517724,0.877971281728731,1
0,1,1,0,40.64375920020779,1.2524558168900015,0.573820744916825,0.293775667756461,0.4665672206561906,3.9730217762246016,67.99743162927474,79.79851988424222,5.217895014094284,0.8090149260334498,1
0,1,0,1,45.5733848703309,1.9446539665451448,0.381380728864275,0.43547878702047305,0.586434658583846,6.136520799397033,61.94744294151708,76.5662493095205,5.53434658583846,0.831562496127948,1
0,1,1,0,39.954439685362345,1.177710327328447,0.5928037263927753,0.25664021024413314,0.45944860260270926,4.05014013847065,69.09013950048413,80.1141119512799,5.281962576575617,0.8000124548825355,1
0,1,0,0,48.21262349964777,1.6468901969803706,0.3090051554274183,0.5009729788640442,0.5263014004313756,5.00409484975199,63.78300669447126,78.83514863551659,5.172439212078517,0.8030695786974131,1
0,1,0,1,46.14776870067313,1.4425261064278105,0.4688197769402814,0.46922014634093706,0.7072686651900013,3.49428358314875,66.11525396013003,73.73927967624341,4.095776088686245,0.9796069286428957,1
0,1,0,1,45.59454143822623,1.9546445680512763,0.3780309389475133,0.4305716386336379,0.5900195214772226,6.266692460197509,62.00004052003466,76.50895027147062,5.570195214772226,0.8297966341684689,1
0,0,1,0,48.15765552776226,1.5151550783235963,0.45177509148691897,0.483338952554737,0.5786783850160021,5.955128081686567,65.12430259698247,74.37324314647701,5.018927950053341,0.8816713721924105,1
0,0,1,0,50.009252047482626,1.5924469076520416,0.22656246015880582,0.48049193192624423,0.5340790131925656,5.901112854875887,65.48630388917184,79.47550541952121,5.390212369391834,0.765257999786691,1
0,1,0,0,43.76051154874238,1.590416914923872,0.48798935493996903,0.46168332439868565,0.49875399189751163,3.624331754443624,63.05676224373197,78.37157302587698,4.928214072922395,0.8497195231004836,1
0,0,1,0,48.69068097839233,1.632403606715384,0.2870683187404386,0.49552326157388255,0.5283709133263738,5.242778670308436,64.23623001847584,79.0055385305381,5.230385573138464,0.7930084516474202,1
0,1,0,0,45.21504185802201,1.7754364329548382,0.43811837247984836,0.518594457931006,0.5257154259426184,3.9317158764409803,61.05656239702694,77.53676163452371,4.927154259426184,0.8614720871831596,1
0,1,0,0,42.905989186383636,1.497757863583768,0.51152181242317,0.4156479544471737,0.48992932034131126,3.7199323629691285,64.41134932760872,78.7628001315352,5.007636116928198,0.8385595127580077,1
0,1,0,0,45.9495273339113,1.5010431363755805,0.4651176791272592,0.48235662245166094,0.6690534619588047,3.4895066827448504,65.08344347288772,74.52627401778587,4.234306200399333,0.9576003578444175,1
0,0,0,0,62.67,1.5552108462590886,0.2911374118295325,0.4194154203222813,0.5014390620613651,5.628162693886329,70.17331564166813,67.69639486594541,3.684344301831817,0.8263059622301214,1
0,0,0,0,63.05021242103448,1.9061486947241368,0.5368230784318974,0.26478815472930983,0.5686185057836202,4.324060847491388,70.24586354746552,68.28491053162932,4.927669126258617,0.8283586583233282,1
0,1,1,0,65.5230925661047,1.7541237026441876,0.7063374976113579,0.31302331582608606,0.3913407529440996,6.575648424063888,73.373184941118,68.78139450811003,3.826104170647737,0.884552267217642,1
1,0,0,1,64.75206296529437,1.6102562433529377,0.7662307817485297,0.3932836577279755,0.5263081429470685,7.673337672823623,71.21666069986752,67.21332139973504,5.65590824289729,1.0214732035120633,1
0,0,0,0,62.67,1.5741854122656236,0.396957106865978,0.3495014424982021,0.4890326150570923,5.912781183984355,70.6447606278305,68.06420953007209,3.694561375835336,0.8408061400223296,1
0,0,0,0,62.67,1.557566475921077,0.30427457725215984,0.41073583102926264,0.4998988426669882,5.663497138816155,70.23184397865445,67.74205784093164,3.685612717803657,0.8281061113823953,1
0,0,0,1,62.53522878934583,1.6194296573212057,0.7369038934368985,0.14849534643825746,0.448198898700147,6.814172018478135,72.05869148566262,69.21728726608858,3.847038156620726,0.8933785779608004,1
0,0,0,1,62.18665599640049,1.5662264415558642,0.6668224161184144,0.25581907479248045,0.45388613900609726,6.592186187181365,71.48629826777344,68.8999025651436,4.1497461083890474,0.8992693032998581,1
0,0,0,1,64.38880219272441,1.7087520877089764,0.7292621030523068,0.23111561096936256,0.41307136851833237,6.704599329669225,72.93857262963336,69.00347662331922,3.787896494912822,0.887155817345957,1
0,0,0,1,64.91434343628094,1.7297737374512376,0.7186406379193747,0.26906522076723416,0.40300310469440725,6.644853588296483,73.13993790611185,68.90058117984394,3.8055989368010423,0.8859495363052224,1
0,0,0,1,62.688259498200956,1.6527816487406672,0.7530899498249303,0.1145776917533957,0.4518886881698075,6.77629189968854,72.1823116846249,69.28932989249236,3.7875174193330037,0.8880878367584397,1
0,0,0,1,62.72600963902133,1.6792067473149288,0.730534240684757,0.13024400019385074,0.464063108584378,6.520534695630509,71.9803484312359,69.18457325171582,3.90643036291718,0.8818583390675266,1
0,0,0,1,63.98486796200871,1.692594718480348,0.7374258264520347,0.20194730757241788,0.42080989799099117,6.750520273792695,72.78380204018018,69.08256269375408,3.774290289246609,0.8880829723698305,1
0,1,1,0,67.28478028177999,1.8245912112711997,0.6707328616734992,0.4402357129790604,0.3575905251280044,6.375372346913433,74.0481894974399,68.43647459746202,3.8854452305441685,0.8805086445387956,1
0,0,0,1,63.59777161988854,1.626746119715878,0.7649940410213092,0.23456859773467453,0.4817854767671295,7.244600887387173,71.80617377984264,68.39234755968528,4.5881887483969015,0.9491951294803531,1
0,0,0,1,61.75412198958705,1.5002080931474961,0.5798603158011845,0.38899401899556824,0.46094327280147457,6.31673031968438,70.7760318986903,68.5060689694661,4.525367745884936,0.906578935851529,1
0,0,0,1,62.748439085095356,1.6949073595667499,0.7171326466555241,0.13955222031457323,0.4712966049432527,6.368575198478956,71.86035089473984,69.1223315388604,3.977083118050375,0.8781570500262095,1
0,0,1,0,61.509517864956045,1.4628737793880273,0.5306820128490566,0.4643063415793244,0.4649341822033488,6.160956113998321,70.3743661782436,68.28335047703892,4.737787117275017,0.9107126368866176,1
0,0,0,1,62.13670189051965,1.5586018675003674,0.6567790116728979,0.27119968107684495,0.4547011796809952,6.560373309225671,71.40426836759016,68.85441803715737,4.193127305601357,0.9001135054959497,1
0,0,0,1,63.65321474758253,1.679328589903301,0.7441287124699111,0.1779984544043804,0.42716367536210315,6.78822400764325,72.65672649275794,69.14749690205227,3.7631188125501485,0.8888442199209334,1
1,0,1,0,54.63254585971209,1.5575423171993095,0.6147461225313469,0.6897090933740009,0.48367172282897886,7.712320167982437,74.43531032612827,64.20084975786295,3.9307193280702517,1.0726397119704805,1
0,0,1,0,55.79653134652893,1.7896696520503748,0.6844439142847976,0.4655285567194004,0.6033743943429086,7.619188079173609,76.12408824042639,62.45955953606717,4.2186235502098945,1.0243868813107504,1
0,0,1,0,55.78267928621275,1.7865511853078486,0.6839576915597054,0.468333854202413,0.601229608458029,7.641072964570891,76.11470869225755,62.48582779002789,4.2157081417164335,1.0249539480398349,1
0,0,1,0,55.3049044914298,1.691419035904164,0.6552066419621474,0.5602949319593081,0.5523951050974708,7.67066963327426,75.41707292996387,63.19826188667326,4.09732146690296,1.0447630028425903,1
0,0,1,0,55.75226222874893,1.7984459133751889,0.6692832568496486,0.46735016720005257,0.5864019441496289,7.510373590372101,76.22225585200184,62.549232910876995,4.25892464425087,1.0089216640377503,1
0,0,1,0,55.55586179566463,1.741388410641189,0.6703084974382261,0.5119912030468508,0.5780460507958103,7.6551236055782965,75.78351501136872,62.82404679142043,4.159505577686812,1.0343580441737303,1
0,0,1,0,55.56957475844965,1.8137202454537127,0.5802920593543258,0.5036301140246177,0.49592003480895447,6.101572652002067,76.2213265558413,62.17535705455545,4.531751797391651,0.9305130058975206,1
0,1,1,0,54.75663861654624,1.9745947063033569,0.3414933291398401,0.5163654834931081,0.24023127282992462,4.806872551083261,77.93779192225878,64.41028320137895,5.070740820354602,0.6895282864048771,1
0,1,1,0,55.411006922508875,1.8300434050358512,0.5082369691988861,0.5302135453441003,0.4222326286953009,5.042899159103374,76.27729167440863,61.97947913956978,4.746284751899757,0.8660173692578894,1
0,1,0,1,55.47701933264746,1.759239936442615,0.633220559678402,0.514216101691816,0.6378614053650363,5.702115995884746,74.65839027198595,62.41898658192349,4.091833068510896,1.0383024364808267,1
0,0,1,0,55.41846452982944,1.857502429337868,0.559386783666924,0.48378328468531984,0.470343051909929,6.603984454075331,76.79741496398618,63.17317784039574,4.531098152600609,0.9018402597828734,1
0,1,0,1,55.21299515675733,1.734094776834031,0.5908928743372855,0.5544483570655504,0.6663592529214315,4.1179709405439535,73.44723175083917,62.385459702445374,3.987061570141796,1.0498013561652548,1
0,0,1,0,55.28388044639165,1.8813134594845542,0.515077562350482,0.49040896263918027,0.42354920136078933,6.2385369044327135,77.0293136923713,63.42474655020638,4.640835943711423,0.8586660477031487,1
0,0,1,0,55.748615267590495,1.7429699059302834,0.6802098978262326,0.48015414142246426,0.5935068884192609,7.24721162175107,75.8970111806398,62.453903506324295,4.289674213436617,1.024244230457308,1
1,0,1,0,54.40542967357377,1.5123200677469895,0.601078953807979,0.7334239345112437,0.4604576347767879,7.726389312256492,74.10368049681126,64.539514159317,3.874442750974031,1.0820561923435204,1
0,0,1,0,55.732835347848805,1.7285272675226353,0.6787388883587869,0.4848078804649287,0.5905916151110504,7.126588845420527,75.82239088220028,62.45203131245664,4.311070714781281,1.0242468154988413,1
0,0,1,0,55.58250942003493,1.7692866114318986,0.6501324625770292,0.4981414217089625,0.6264751737105151,6.335056520209603,75.14230511730311,62.43238214857587,4.1336942142995765,1.0337080767473577,1
1,0,1,0,54.65324901849775,1.561664627576986,0.6159919763343781,0.6857241933422469,0.48578784215618614,7.711037671420494,74.46554060223123,64.16997823347901,3.935849314318027,1.071781336829193,1
0,1,1,0,54.66351071790927,1.9910711806775905,0.31083275943474475,0.5209502415798513,0.20785141884230057,4.553994487861329,78.0982584552948,64.58436073498498,5.146675876166286,0.6596531069364948,1
0,0,1,0,54.68458472843133,1.5679040388469467,0.6178776650737439,0.6796927624479516,0.4889907399414326,7.709096521247616,74.51129628487762,64.1232519757462,3.9436139150095335,1.0704821247273084,1
1,0,0,1,45.45821359071103,1.2499383799651178,0.5804805028701377,0.38277208210061786,0.4049794536358991,6.887351100796885,75.82195066585726,72.10061581920041,5.728665343917364,0.8310689329264335,1
0,0,1,0,51.342447474173845,1.9274858936496746,0.40794253471199254,0.630148285082631,0.39072395864022313,5.9802719202313295,71.24001020677518,72.74097483012271,4.473088759230399,0.8471561776515554,1
0,1,0,0,44.89885933750003,1.5182001136479486,0.4337927038137813,0.26348122605867813,0.5870549707525439,7.304012942474474,76.59248968813772,74.97729483571418,5.0551571614796185,0.7910903548646734,1
0,1,0,0,46.58872269893922,1.6761560339318318,0.40219785220415616,0.34506841563124924,0.5630644338753154,7.007133918507087,75.23974540285627,74.837783945483,4.781865444026606,0.7999434824150172,1
0,1,0,0,45.15668455408569,1.3945492444691063,0.5014060514285952,0.3184663997999081,0.5031302318843508,7.111959464813719,76.23732229794318,73.65133657898787,5.365599769205223,0.809517828131194,1
0,1,0,0,47.06896357303663,1.2636288660958765,0.4712889621730625,0.3595956563118776,0.6834158350315093,7.336725773219175,75.44545951938807,73.82613883228302,4.72705044679908,0.9099276888372707,1
0,1,0,0,47.93897249029736,1.5101264172048572,0.4143857376342941,0.46740486537450227,0.47979934967860693,7.009529978497731,74.46828197851295,75.17143597419728,4.813685574194236,0.8500892612506107,1
