Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,Vibration_Z,RPM,Temperature (°C),Humidity (%),Sound (dB),Pressure (bar),Current (A),Vibration_Y,Vibration_X,vibration_total,Misalignment
0,0,1,0,51.25024711980171,1.697232729080706,0.5126518499421168,0.320469449146606,0.6147475327258152,5.725413242749864,73.05435772394549,67.47349958707589,3.903126646561196,0.8651092119446582,1
0,0,1,0,53.106788674899796,1.4365740622682246,0.7567795916036104,0.3436185648086323,0.7960928240431614,5.821705068795418,70.48984858793219,68.428913758159,3.5531165242545706,1.1512288502832169,1
0,1,0,1,50.35728437471987,1.144069966640624,0.33168860337243267,0.38289781805055817,0.5357242809486606,6.950273645295761,70.09888810747991,66.6595600937712,4.756577765754466,0.7394054433072397,1
0,0,1,0,49.80243690627389,1.4928922295204492,0.6959374425091459,0.5101824486345826,0.5934186037638556,4.789407121771596,72.79505402583065,67.69767114538742,5.04584346568199,1.063785197035371,1
0,0,1,0,52.09719087841362,1.6808744712048242,0.3750679362429793,0.6773892802770924,0.628606252937751,5.671563234437744,71.91311706807235,67.4887494124498,5.675759283293089,1.0416176879516015,1
0,0,1,0,52.279531271038444,1.6523342358374609,0.33114768514987025,0.7734747393472153,0.628764809800903,5.711202450225748,71.48501353756191,67.4570380398194,6.176798970853465,1.0822675548905523,1
0,0,1,0,51.84409011324145,1.7655225921835422,0.5568122515535726,0.3631509426871654,0.5916335655298341,5.147593723935321,73.01149702803792,67.43341298646698,3.9435805586234327,0.9007874720549316,1
0,0,1,0,51.97795098793296,1.6995381062365804,0.40378919681962644,0.6145550423368462,0.6285025660764635,5.64564151911586,72.1930715935487,67.5094867847073,5.348108801624478,1.0150350662292311,1
0,0,1,0,52.41260409054167,1.7341871761118761,0.5744943791940128,0.4311935604427832,0.5450780902233588,4.670847750844973,72.32211787446127,67.20735034194996,4.1785961791609285,0.9194746159124901,1
0,0,1,0,51.689820504481254,1.729986663213478,0.5793007500562378,0.3157085856943277,0.6565429284716385,5.571230897256787,73.03037232782401,67.74905529255413,3.72487024188106,0.9311949390389829,1
0,0,1,0,50.194487094883776,1.5658040024021658,0.6584058085995409,0.4610566475618194,0.6019050560173013,4.968698366562703,72.98032164544813,67.67615619601247,4.730290874849643,1.020202462826795,1
0,1,1,0,51.463186952931835,1.4365913845307252,0.663957341040665,0.4526357170382136,0.07493140930357622,4.302049353151948,64.53727310762459,68.5889126066647,3.972488494356447,0.809647648430423,1
0,1,1,0,51.46024966329779,1.4536803106832281,0.6822964141413339,0.44340548056299134,0.08054374120028018,4.324837618610102,64.59110757575999,68.95393842975272,3.929492217632715,0.8199111091946946,1
0,1,1,0,51.80412415059835,1.4494616402408376,0.6591294027955127,0.41258643224143643,0.13336549527628952,4.232680271808528,64.71166118722662,68.58721598530592,3.9738030992759903,0.8111360311303227,1
0,0,0,1,53.66700900107564,1.5074180578112422,0.506786819467592,0.19566384076363647,0.5092542606614849,3.636557119655795,65.76315619171825,66.42626955875225,4.487131369185287,0.7518232536769605,1
1,0,1,0,50.653724514721674,1.7312506540243588,0.647731050630929,0.35018374261068697,0.2538942763812506,4.220094092820997,65.62806848107213,69.2367459493833,4.7307801899193755,0.8014881227921993,1
0,0,0,1,53.673099862594746,1.5076075512807254,0.5062887223478075,0.1949545937778564,0.5104832611635618,3.6346080439696813,65.7665941446646,66.41920415939009,4.488809739914997,0.7516293254727081,1
0,1,1,0,50.8339532673716,1.66922387551497,0.6554551400302113,0.3710153776572365,0.2151567977272737,4.243500424333973,65.39634579909367,69.17354885429828,4.551721753845102,0.8056049837050551,1
0,1,1,0,51.33161928813396,1.424409193345737,0.5923260568729337,0.4692034970497977,0.08540809372266615,4.202155385435043,64.5275273546766,67.33414691461091,4.267297521033164,0.7697215266009302,1
1,0,1,0,51.22668339406627,1.4146929068579877,0.5351942923249683,0.4824176466731366,0.09376410010213049,4.1224818362355,64.51975432548639,66.33336940637274,4.5024316540366955,0.7378772030183083,1
0,1,0,1,54.57391781770962,1.4259267532949367,0.5218590441433165,0.229718088286633,0.32814762608741727,3.7893562596374686,65.00850171474507,65.89281911713367,5.294683635913926,0.6793641059131152,1
0,1,0,1,55.46408542064463,1.3769063494818792,0.5324487895757719,0.3089074908112412,0.20427674654147618,4.23959752488691,64.74454316070302,65.54049017841643,5.849771129970806,0.6600884748222826,1
0,1,0,1,56.70030878693438,1.462532210350433,0.4992687684892072,0.5363511837433377,0.36268458914830104,5.8076211020423045,66.59085078568121,65.49232563167787,5.544729000626583,0.8397430336807412,1
0,1,0,1,55.719048201597175,1.394566109201536,0.5256056326844049,0.3558162275665798,0.23694730202284148,4.562991874753127,65.12533172965811,65.53055656357414,5.786858235969528,0.6971410230804748,1
0,0,1,0,55.49261870015504,1.4281546750387613,0.4819979081493997,0.30303404115856325,0.42517229764341663,4.128268145567305,67.08140348335453,65.16585546796335,5.978154675038761,0.7344957544838624,1
1,0,1,0,52.45014334638387,1.3795060327719446,0.4421200372326752,0.4278506752843346,0.13528833664090711,3.9234979890760187,64.45802413108778,64.40564607737925,5.383337115157495,0.6456387014186872,1
0,1,0,1,55.21087850881228,1.25206235427866,0.5950971708044712,0.27388161545336215,0.20036447356315665,3.9254392544061405,64.36631776321842,65.04223699055031,6.100031066410811,0.685980156432318,1
0,1,0,1,55.24699383592869,1.3667484589821737,0.5333558343058186,0.2678650265079721,0.1979692982340419,3.949631880675414,64.6474843742025,65.51196323119139,5.916748458982173,0.6354965584152442,1
0,1,0,1,57.02355926381809,1.4849218537709503,0.49059278166375675,0.5958236740790869,0.40410542947625816,6.217631447180529,67.07362747193612,65.47973145725383,5.464965895940989,0.8867195133436565,1
0,1,0,1,54.5440933770591,1.4289700635653981,0.5210677834729965,0.22813556694599302,0.33530954959057,3.7828638643938177,65.03751460599013,65.90864433054007,5.266279406722951,0.6818913560470429,1
0,1,0,1,55.35435836761765,1.3693062072808762,0.5353938446786606,0.28871961308982724,0.19021648346962083,4.100419920831044,64.58066509449388,65.54476525840451,5.876846636561879,0.6441423555011726,1
1,0,0,0,63.48910591088095,1.8166117693320465,0.49295166055073714,0.6780770052424535,0.4518470576669884,7.807227811271674,68.39430161205844,74.0876085321077,5.0855336959376976,0.9528413345681626,1
1,0,1,0,59.499513977826254,1.1744451402490916,0.1119474348349972,0.6913243637311053,0.6175022945859056,7.261332915850544,67.27266583170109,77.2168752511178,4.408364628848155,0.9358314773856332,1
0,0,1,0,59.31489365880546,1.382411273234737,0.22458151733883236,0.6735390135919606,0.6959290513187336,5.650567916759571,67.83907783079826,75.98482320108835,4.6578721941808885,0.9983536763504982,1
1,0,0,0,63.44357322582209,1.809228090673853,0.48848789118010205,0.6782448161210488,0.4536929773315368,7.801186619642243,68.3818836070424,74.12598128634649,5.07580066497917,0.9526087628290563,1
1,0,1,0,59.6863555073424,1.2197950260539814,0.16201370876359547,0.6860637769777381,0.6222186827096141,7.234122984367611,67.21824596873523,76.32801748934196,4.999727139743918,0.9473600512338705,1
1,0,1,0,60.01895493055689,1.2538845833335495,0.15275749810619127,0.690866259469692,0.5925288541666126,7.346814659091086,67.4478967992428,77.01208466540291,4.343756950757861,0.9351165057465799,1
1,0,1,0,59.16688388629953,1.2036985781920744,0.143825666132437,0.6622896103261254,0.6043470458154468,7.169250500279384,67.6140977882579,77.14555597688651,4.104684307548692,0.9208641304606711,1
1,0,1,0,58.75763091797291,1.2691790531243343,0.21549040814163267,0.6162713876653982,0.5868855858335108,7.0182816275188955,68.09974464400548,76.61443656910262,3.931888609810784,0.903938763980853,1
1,0,1,0,59.54407718534097,1.1852614527526617,0.1238886438389385,0.6900696714806912,0.6186271910862768,7.254843128348402,67.25968625669681,77.00487552604783,4.549409343894708,0.9385811349702081,1
1,0,0,0,62.25709666069511,1.6168264855181271,0.3721723753359586,0.682617579874588,0.5017933786204682,7.643767124514831,68.0582990892805,75.12588659798912,4.822180367273894,0.9465484806865971,1
1,0,1,0,59.42878747633659,1.17993337540162,0.1075239826540616,0.6912558296523582,0.6231635567849572,7.124860110356954,67.33921052052276,77.36420388007646,4.259243832821939,0.938091920301777,1
0,0,0,1,45.41984918992067,1.4315138125845779,0.15407035936070915,0.27651443979263896,0.27562499649819183,7.206991191072679,75.66968583568013,69.22584171945287,5.439623114874008,0.5160830348992484,1
1,0,1,0,44.86723389006198,1.5502312202302917,0.8609280740832683,0.537848055277237,0.29726425169176185,7.968909961771482,75.35007459574842,65.30195738905223,4.572939800070851,1.0588157136061236,1
1,0,1,0,45.26740510978182,1.5630220811345787,0.6909923506405975,0.5294426323972768,0.3118823784395185,7.9086101889369855,75.90739067800665,65.96342762438822,4.735566460139643,0.9789784593121915,1
0,0,0,1,45.08129779766077,1.392368807854526,0.19977479731579667,0.23176217762828238,0.25457133179202884,7.117063477503641,75.1047281998464,69.29143605170323,5.435391222470759,0.49380842401185887,1
0,0,0,0,48.611893466011715,1.515873768932552,0.0969269262584774,0.48863121017134725,0.2845114065224433,7.0428054394661075,78.67175333112368,68.69868500165724,5.392624203426945,0.6388222726715655,1
1,0,1,0,45.68366811852131,1.5763272914595854,0.5142231277512237,0.5206992084694154,0.3270883330966689,7.845885625976241,76.4871176993105,66.65149707262427,4.904732705700442,0.8959307686132978,1
1,0,0,1,49.73791146594942,1.4408059022700386,0.2143860588009987,0.4862025438969718,0.2178334778986812,6.612269145372279,78.87487814679872,68.54634138990096,5.344050877939437,0.6499861005534036,1
0,0,0,0,46.116877389280084,1.590174163127674,0.33025754701804544,0.5115998356589571,0.3429133292887703,7.780607516683823,77.09044567913436,67.36757815031686,5.080785788337569,0.8095021675353113,1
0,0,0,0,46.76374427493896,1.6108502736281862,0.055560650368385506,0.49801267733004917,0.36654316986078406,7.683134424324265,77.9913333509424,68.43682843620047,5.343667764701222,0.6804472193038321,1
0,0,0,0,47.8036135829544,1.22102810314179,0.5200453862739485,0.2552766745307954,0.5259495081603984,7.586803747085572,75.30461733096317,65.04440562155156,5.362473536323549,0.8133570571699825,1
0,0,0,0,46.064971619081305,1.5885150745825074,0.3522997234038299,0.5126900938457808,0.3410172280942942,7.788428934111036,77.01815682109496,67.28177957126681,5.059691662549023,0.8198577702635232,1
1,0,0,0,57.24722223688079,1.911549142198295,0.624075497635847,0.30121385378846344,0.7198500687349945,7.229884248876109,64.04359866105334,61.69475072033171,4.118258545035279,1.0112964814720804,1
1,0,0,0,56.11778172175425,1.7899236414034432,0.6173978404912162,0.27411585038596337,0.5839564219297617,6.28825762122771,63.79201619631588,62.900911680175845,4.828868490000166,0.920935335172393,1
1,0,0,0,56.05193575140893,1.7583917682803296,0.6116479106864131,0.2733739239595372,0.5538156608561975,6.115296023067103,63.8351406698519,63.0952036630962,4.908161876824465,0.8992024476042114,1
0,0,0,1,59.14743982356763,1.7420863575959253,0.4345995408235427,0.6052223929577816,0.6872837851270326,4.556732891624222,66.36293339239539,62.13788562183286,5.416480706483306,1.0312520375621232,1
0,0,0,0,55.554250716769126,1.0202760110196512,0.8427355232375435,0.31594710464750875,0.478201241136141,4.901609929089128,64.06623607967158,61.98357222347719,6.37149856646175,1.0455832305155845,1
1,0,0,0,59.04023126816098,1.5322587701967156,0.509139021271732,0.36385423340690604,0.4152684063700898,5.959836185052639,65.79637992560609,62.6832044170631,3.8768919446706374,0.7691653627670348,1
1,0,0,0,56.6734247312188,2.036028744805687,0.6599553710176934,0.2843352869204584,0.8211908726337018,7.6186327583925735,63.48883005078884,61.37036938856293,4.216215958710111,1.0924697778320103,1
1,0,0,0,55.89092280327643,2.152361579508536,0.5905892043167216,0.2962300059290107,0.5924506850084121,6.640422704459584,65.15206985255523,61.13111530100113,3.5258305229487865,0.9058373443018193,1
1,0,0,0,58.09847277945503,1.8667161054112835,0.5301490141486507,0.4691682515926822,0.7440595591318069,5.854959431367536,65.14433141375633,61.812463502537206,4.907575902903925,1.057207979486952,1
1,0,0,0,56.69815259877386,2.0330907803436995,0.6577029315968363,0.2875425647914613,0.8198524666010186,7.588028961913538,63.51755681441716,61.37804074021367,4.228212646929894,1.091857904372509,1
1,0,0,0,56.25547645105735,1.6788596398444025,0.7266542361425334,0.2927308472285067,0.7008877918898339,6.683102335118671,63.66824309534583,61.58084122743328,4.969047097885301,1.0763988319286775,1
0,0,0,0,68.43411895975444,1.503826106126719,0.5763414513201834,0.4796585486798166,0.555738553088962,7.419005730325262,74.37092181389421,66.71300292027695,6.73273623891313,0.9343734321556433,1
0,1,0,0,70.74212763294335,1.94217573825523,0.630895717346347,0.433605084408851,0.5767628056276473,5.90266814403637,75.86892510325555,67.39178945276022,6.487299785755713,0.9621367171929459,1
0,1,0,1,70.59550923436973,1.4782208816926676,0.4537007579351707,0.6167526156140493,0.6751665955114058,5.9745337354922,75.28815068836133,67.11758487239496,7.0927116473229335,1.0471246578779194,1
0,1,0,0,70.99884564125828,1.7663183151844861,0.556135400954484,0.5056750495899814,0.637393820898034,5.888104505444654,75.80352498605225,67.18480760687638,6.977472673926206,1.0040886061716554,1
0,1,0,0,71.2173958380455,1.9496973415526906,0.6217273908461488,0.42983640563418624,0.6068244292270576,5.8458782147835,76.13000072183758,67.24902961619091,6.8707889331082175,0.9696636866472816,1
0,1,0,0,70.3703185631537,1.8152791254402751,0.6095631067136293,0.44643689328637065,0.594151092137634,6.3341110463830415,75.58558858921708,67.06598300883232,6.846935679328101,0.9622180281088545,1
0,0,0,0,67.62999089418551,1.374475747053968,0.5625440796857566,0.49345592031424346,0.5397853421366561,7.869576147762013,73.86645541351048,66.56640584666116,6.685307773919788,0.9228092209859403,1
0,1,0,0,67.79132893442782,1.278693454899459,0.4085849797915928,0.354052437259233,0.26974365322596344,6.880013616566716,74.82746376539306,68.48841326565629,4.968295560361995,0.6119278175990157,1
0,1,1,0,67.57562991936402,1.8352550362382658,0.6662617957058045,0.44923195624209966,0.3653888024094944,6.338575621490148,74.18286787914188,68.36230044029881,4.01167430059369,0.8840367991631485,1
0,0,0,1,61.02623424211529,1.665364378682209,0.6323905840949603,0.5744534831268748,0.8336517477256378,4.846679764338616,67.85789435994599,61.45113396356813,4.669899209950957,1.2197283969560861,1
0,0,0,1,59.67987625788098,1.6470791403967489,0.39533995109949027,0.641834919575589,0.6188365512840337,4.078993745963356,66.91842398662158,62.38559423496845,5.462598584499518,0.9803139618075092,1
1,0,0,0,59.71931635400763,1.5156121533078921,0.4286449211620007,0.5173795051314712,0.4584468270356284,4.753857613019488,66.71245904018237,62.72740840139948,4.63435656583972,0.8285330721350688,1
0,0,0,1,60.13346488125116,1.6027558531248065,0.4383446388052756,0.5448655916540911,0.6399161519484816,4.482515441545551,67.27897658750078,63.640413136951885,5.620018493198404,0.9578318739489663,1
0,0,0,1,62.017312690016134,1.6546692875178115,0.8117116126180268,0.5024398692865976,0.9612798356207825,5.5311655988600625,68.5067298905861,60.83081867603307,3.939067980383787,1.366907897097095,1
0,0,0,1,59.846548645411644,1.7133480774666432,0.3761128335329489,0.6339631328478706,0.6493879070831441,4.031622400172464,67.24365040038805,62.54520645196061,5.76219762593719,0.9854348142155319,1
0,0,0,1,59.162229217497355,1.6067638294467332,0.4978307381039436,0.49528022612407274,0.6570470354519129,4.39335872565156,68.10271943789053,64.01372639094645,5.850649220698058,0.9847076882091998,1
0,0,0,1,59.51394938871826,1.6574927002959023,0.4210610468855344,0.6183822860513898,0.6583998053412241,4.058548178047045,67.31811290209005,62.826670813075886,5.725518005936774,1.0079912479651056,1
0,0,0,1,60.25441666840211,1.7903898151426203,0.3509609721152034,0.5437789810977561,0.6271817591647741,4.312598149343675,67.87584583602327,63.11168981722515,5.975195371276657,0.90945863158698,1
1,0,0,0,60.42210421893555,1.5546492968440742,0.47032134974482137,0.4650653041766405,0.6280310027497125,4.839069917508628,67.47140281262371,64.47520337829401,5.588890721487342,0.9201596963327716,1
0,0,0,1,59.174941145456486,1.608597280594685,0.49505611536671,0.49972940090976903,0.657095927482525,4.3812579480750795,68.07436206013554,63.97082363408437,5.846126707866444,0.9855492064343895,1
0,0,0,1,69.00290612911152,1.503687820039796,0.4772898682944915,0.41786547706895,0.48351016301064226,5.771418774177696,63.59644934147245,66.60468518145859,6.641629480557146,0.8311050018622567,1
0,0,0,1,69.05230850271538,1.6010057301426064,0.5844262661574522,0.31377332100019506,0.58539447627857,5.782840018499708,64.5344971349287,66.7766440544247,6.295997935788236,0.889072773537396,1
0,0,0,1,68.9235255700143,1.4978387262115809,0.43400657396569897,0.4287280798927783,0.4609493725303836,5.787294885997137,63.38003286982849,66.81023905027872,6.559742166962133,0.801485270627671,1
0,0,0,0,68.39442965108042,1.5692508271918528,0.38154387878028895,0.5000977628207885,0.38011068205852816,6.0454072792883045,65.93592878627648,65.02058610317688,5.188761618298028,0.7531603384700969,1
0,1,0,1,68.66417394262662,1.690575244009242,0.473957199055268,0.24410814354836718,0.5858920846889402,5.88733778467745,64.48971237799539,68.15999543525385,5.395326713018176,0.7941156239565956,1
0,0,1,0,66.01632859723625,1.2720596346439395,0.845870912943715,0.4014813793411336,0.39775440144523005,4.668238538575758,68.12384503379462,65.57491318448456,6.07377200722615,1.0187526923731227,1
0,1,0,1,68.74621535872087,1.6716426095259531,0.4973074482513245,0.2588335259242587,0.5857869033862553,5.865249711113612,64.49917869523702,67.86759141378971,5.585704870877916,0.8141870626300834,1
0,0,0,1,69.11398262131655,1.5867732412346423,0.6019796691439412,0.3248430345952782,0.585315406895748,5.766235448107083,64.54161337938268,66.55683117017948,6.439113518696097,0.9041613513335522,1
0,1,0,1,68.8232549292525,1.6538642470955776,0.5192340952487877,0.2726611411478841,0.5856881347060865,5.844508288278174,64.50806787645222,67.59301448292058,5.764476181983358,0.8330347994070907,1
0,0,0,1,69.0186695632368,1.6087685623299706,0.574852106459703,0.3077355626322451,0.5854376031240554,5.791896656051632,64.53061571883501,66.896536684874,6.217938345459741,0.8808430044411413,1
0,0,0,1,69.11806290905625,1.5121730564567764,0.5400806177801455,0.4021071808659866,0.5162389320475662,5.7483874181887495,63.91040308890072,66.3064897302333,6.76042279039487,0.8740741231508384,1
0,1,1,0,57.524321557851664,1.4634169683205562,0.6857573475646283,0.7030772549110358,0.36345064426029594,3.8231495583062935,73.05882800045462,70.17932981037796,4.492997683660189,1.0482793152025127,1
0,1,0,1,57.62497712682551,1.6369258920830139,0.3537191215065296,0.3974611161875479,0.2887191215065296,3.135352241045339,72.13665141983094,70.52338517724824,5.418883806610312,0.6071101105825675,1
0,0,1,0,58.682114390562504,1.1620661441682256,0.29771542437749965,0.24911103328979056,0.6006343171687525,3.172140959370834,70.63682841415623,72.3697706631698,5.568211439056251,0.7236181093708026,1
0,1,0,1,59.48744283031516,1.667688647877484,0.5242065534560194,0.4311493323822303,0.29307466619111516,3.2153693661561835,71.59547245094038,70.34770450707505,4.693947408722941,0.7476876383790886,1
0,0,1,0,58.36464177216993,1.3022832172916115,0.31041432911320255,0.29249895780344204,0.505392531650981,3.1509761181446625,71.1130373417451,71.80361116036971,5.536464177216994,0.684905109634095,1
0,0,0,1,60.29675754182165,1.6795612353323468,0.6027635071156958,0.4457921902432279,0.30039609512161397,3.264838480551446,71.31053035202368,70.30812921555884,4.3654724891384005,0.8145889619263842,1
0,1,0,1,56.88390580743477,1.3893670326021699,0.5110723707342419,0.7201375043950596,0.4415967820307093,5.579476141757105,71.7945387748326,67.96947503564996,5.101952903717385,0.9875591614768562,1
0,0,0,1,60.203979000063875,1.6782001809300324,0.5937578638203813,0.4441135564803733,0.29955677824018667,3.259167420541802,71.34319565767922,70.31266606356655,4.4031283276024356,0.806919501391274,1
0,0,1,0,57.99905683009404,1.5908853132191951,0.5442120165555805,0.40436720301712076,0.47921201655558043,3.6648188979792566,70.2892731929202,71.77223587892934,4.8030910643067335,0.8384484799253064,1
1,0,1,0,58.15333260202803,1.8873361122934689,0.40546678367551453,0.36605985090128157,0.27373119792186074,7.1780114083626625,69.51334137769162,67.65931812218312,5.786016234977635,0.6151924866240774,1
1,0,0,0,57.43459692971562,1.656348229685754,0.43347562516309585,0.22613431539150713,0.3459084674673423,6.571621812129591,69.29598006924685,68.93786085705753,4.911313319840277,0.6132549188457452,1
1,0,1,0,57.94276677887248,1.8294205696159904,0.4139589570433032,0.30346450982842127,0.28772670212909257,7.039285368962357,69.47641718959964,67.9804394021243,5.585190728504814,0.5959271015143963,1
1,0,0,1,58.18687168843608,1.7598875839429178,0.40010052985022815,0.6786441362242124,0.37166533023333687,6.654801660397242,69.14441142720318,68.35693111947035,5.041448516719151,0.8801931963511704,1
0,1,0,1,57.458500406902886,1.6234001627611558,0.4700277401015843,0.5516698725037613,0.3649077184000969,6.533378187694763,70.67176600657976,67.63609997287314,5.45022246334986,0.8168435922026616,1
0,1,1,0,58.47650933402001,1.6483157216929092,0.5474873780753375,0.31731407774058284,0.5299690616704662,5.645069274444538,69.37314077740584,66.37919455300913,5.982441000257504,0.8341603072352085,1
1,0,1,0,58.09249139716871,1.8804137367168794,0.4082086637319264,0.32624869087349934,0.2705843182951767,7.177075416234972,69.52958027870483,67.6983495415662,5.783738591897637,0.590821720232631,1
1,0,1,0,58.15423960080229,1.8838895169512972,0.4053216638716336,0.3745130794773443,0.27637963434268725,7.163862227484274,69.5033643911748,67.67818369668764,5.765880862189158,0.6223589107769351,1
0,1,0,1,57.705879499401135,1.6277971125361808,0.45685896055245045,0.5885784793741895,0.4108462945528498,6.964960346416808,68.31792377253218,66.06423118342649,5.487511838207405,0.854944396349288,1
1,0,0,0,54.9711152974363,1.612070723040146,0.29256613268815523,0.7152213498244192,0.7730914586728265,7.115504938718978,75.67245156415794,70.2251240976012,4.673787830879562,1.0958026148759656,1
1,0,0,0,54.96524343407681,1.606461221724601,0.33306552749436635,0.7396389047386009,0.7867895532388167,6.839104143927698,75.39254668975164,70.27859892355757,4.6257727125598125,1.141562488188103,1
1,0,0,0,54.729194438458435,1.622058440789931,0.30393025100684273,0.7328175725994681,0.8156993897053714,7.041352948138273,75.53566196477787,70.2575492863705,4.63922345704095,1.1389911974277123,1
1,0,1,0,54.28218428686726,1.3713096364421353,0.3507380727115729,0.1994897127573927,0.8218260055931979,6.973914874153047,77.9512534957487,66.66485970044496,5.82649671990836,0.9215753223557259,1
0,0,0,0,56.82764832289063,1.5388740804595094,0.21471152194329618,0.5049473584109538,0.3585322920570386,7.6278814367834356,76.71051304075606,69.6262424764869,4.893377758621472,0.6685173784943881,1
1,0,0,0,53.84448130972459,1.4998945211092982,0.3592864824028406,0.6472143880149694,0.5555342034829662,6.576045570352172,76.88469278188275,69.55876958440074,4.858418331016218,0.9767012692549317,1
1,0,0,0,53.7706750910606,1.6704110488189015,0.37276161067161256,0.6110827712088835,0.7616582395553455,6.603335204817011,74.96396348161181,69.49528464214909,4.386083332653987,1.0662064172884378,1
1,0,0,0,55.74567201099092,1.5815326447279565,0.2600847221197356,0.6274937794003115,0.6001348878683357,7.329271486904304,76.10553703840353,69.97526709322874,4.765402065816131,0.9175366514352492,1
1,0,0,1,52.7404077483053,1.356617799398398,0.42881783264489504,0.5389140424864363,0.24243242633238182,5.998724662281781,78.46495074192943,68.68646719045495,5.107045583396897,0.7794053612457144,1
0,0,0,0,56.61522400488646,1.5472492327822545,0.22361963850476152,0.529006886901749,0.40596610930313176,7.569255370524219,76.59173815326984,69.69476645003662,4.8682523016532375,0.7174073113354138,1
1,0,0,0,55.27743585595687,1.5848128421051813,0.38433800554036057,0.7422594980609517,0.736884341274049,6.485893739610849,75.12479041551146,70.2603687091412,4.587033506925061,1.1407193994291827,1
0,0,1,0,63.8576769051461,1.0608479731132507,0.5791831387607019,0.47812847109365986,0.425816861239298,3.6955343987995493,74.86664834352548,70.89951320390146,4.684019041080405,0.878232086970942,1
0,0,1,0,63.91521930621782,1.0691764785315263,0.5756245955365297,0.5124267706798311,0.42937540446347033,3.7409626101719615,74.98551882994997,70.75187151694112,4.643133650845234,0.8912206267938875,1
0,0,0,0,63.48816993302698,1.0073667008328528,0.6020342278259628,0.2578828679752938,0.4029657721740371,3.403818368179197,74.10332473006889,71.84759030341762,4.946563468638723,0.7948265298020112,1
0,0,0,1,62.98102808586731,1.5080486908441721,0.718523923808795,0.21303230200021883,0.4431724719466608,6.169555252887381,72.95389418604583,69.62746535208949,3.932639510489307,0.8951064830570324,1
0,0,1,0,63.788564714473,1.0508448928842495,0.5834571821312752,0.4369339679687732,0.42154281786872483,3.6409721430049977,74.72387710752974,71.07684053523376,4.733125071295502,0.8626320003549931,1
0,0,1,0,64.05157818543088,1.0806283488309274,0.5664758884173228,0.5523502186511374,0.4287847047033027,3.8699561698432485,75.12659522494022,70.5231368685856,4.587905503896908,0.9000131802209034,1
0,0,1,0,64.10339690111748,1.1284812838110923,0.5586742498785359,0.5617659567136328,0.43293176832280644,3.8205429168691065,75.37418925230781,70.33402791443983,4.585069699951414,0.9038176612730763,1
0,0,0,0,65.32564684808615,1.651037420558568,0.4258209947732454,0.6131358820210118,0.42141781954701457,4.041965008711258,77.89840109930833,67.89838490417617,4.531928397909298,0.8576581040985412,1
0,0,1,0,63.76546196911716,1.0475010744774838,0.5848859045414387,0.42316351580272865,0.42011409545856127,3.622733133513548,74.67615169936045,71.13611731608097,4.7495401798378065,0.8574172209491141,1
0,0,0,1,43.328444314114186,1.3353874352998907,0.4209248908145242,0.0895391398424061,0.217693618571841,6.127670434295443,73.8415646029152,70.88004458514692,5.115374555146336,0.48270828934234805,1
0,0,0,1,43.001739665610636,1.3888744795239225,0.4553300706126852,0.10240494237197054,0.24255786615706662,5.712784442611737,74.33740395882988,71.72571812220255,4.924555910887628,0.5265012870193475,1
1,0,0,1,44.40489514424185,1.631458189189587,0.5654240963950575,0.23324210901162049,0.3721524990998679,4.439437909927938,76.87721722523901,74.96368579277835,4.256595252257687,0.7244612584975099,1
1,0,0,1,41.17656860298694,1.6323412357317333,0.6107876796524533,0.26783699801242644,0.4174654220001421,3.8027582605485337,75.77037894542534,74.74648323243768,4.311857880061422,0.8070027678671122,1
1,0,0,1,41.24890416497207,1.6187861358184061,0.5914971989295811,0.18312698855899712,0.3598322998709119,3.8920811238233366,76.32705311311915,74.67110331794906,4.359766934861129,0.7205002757629048,1
0,0,0,1,42.97992930776784,1.3924452018256195,0.45762691360674973,0.10326384584454087,0.24421776949731494,5.685087218271548,74.37050551962669,71.78217413697263,4.911817117811304,0.5294248479626006,1
0,0,1,0,40.032986100918045,1.6664780268382673,0.629562914761047,0.5716544388605788,0.6040798800491944,3.478458745036461,73.80751345679964,72.9941279556356,4.897872794056921,1.059449725379331,1
0,0,0,1,43.04522361300296,1.3817554261897818,0.4507507876572109,0.10069252143483937,0.2392484683909255,5.768005207663045,74.27140841035393,71.61316011678439,4.949953614674293,0.5206724981855764,1
0,0,0,1,42.7884828211431,1.4237882106978115,0.47778809228670027,0.11080311014082492,0.25878803308114473,5.441967122425084,74.66106368295539,72.27773252049242,4.799998815888888,0.5550872178812092,1
1,0,0,1,41.4721170621571,1.6195804877656836,0.5996790239865415,0.1666839032503487,0.3533980490979625,3.9103512186107237,76.42714145847614,75.13500485515924,4.189775618143702,0.7173834411216921,1
1,0,0,1,45.841665733639346,1.426302244481123,0.5439536957891482,0.5298996905962434,0.4923678503063744,3.871575561120281,72.65446932850219,75.36063022444812,5.2040772064575975,0.9072972805422846,1
1,0,1,0,54.133382811994196,1.4700642904172712,0.4712462891004353,0.4599589677375191,0.4365440105346876,3.5700642904172715,69.11667675344994,65.93064290417271,5.436508462319306,0.8028815058119807,1
0,0,0,1,53.89055457761646,1.4953588981649517,0.4894584066787653,0.2864379585884309,0.49320393188949196,3.595358898164952,67.022283231942,66.18358898164952,4.849673562573119,0.7688684351225675,1
